Id2,Estimate; Total:,Estimate; Women who had a birth in the past 12 months:,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old",Estimate; Women who did not have a birth in the past 12 months:
75925,910,12,8,0,898
75926,287,8,0,0,279
75928,248,0,0,0,248
75929,393,41,0,0,352
75930,297,0,0,0,297
75931,536,3,2,0,533
75932,166,0,0,0,166
75933,154,0,0,0,154
75934,6,0,0,0,6
75935,3054,395,189,0,2659
75936,216,22,0,0,194
75937,188,11,5,5,177
75938,483,40,18,8,443
75939,898,66,44,14,832
75941,1995,76,26,7,1919
75942,90,0,0,0,90
75943,256,14,7,0,242
75944,310,26,18,9,284
75946,525,30,17,0,495
75948,1206,72,0,0,1134
75949,1621,65,4,0,1556
75951,3003,181,112,0,2822
75954,795,49,19,0,746
75956,1626,25,0,0,1601
75959,85,0,0,0,85
75960,156,4,0,0,152
75961,3842,249,119,9,3593
75962,1918,0,0,0,1918
75964,4646,308,91,8,4338
75965,5794,236,87,14,5558
75966,1018,37,1,0,981
75968,357,29,29,0,328
75969,948,16,5,0,932
75972,1089,44,9,0,1045
75973,491,21,0,0,470
75974,709,15,12,0,694
75975,787,64,46,21,723
75976,223,22,2,2,201
75977,324,0,0,0,324
75978,13,0,0,0,13
75979,1782,90,39,0,1692
75980,587,27,12,0,560
76001,8117,544,131,0,7573
76002,10384,622,235,25,9762
76006,7005,553,287,22,6452
76008,3753,94,34,0,3659
76009,5257,367,157,62,4890
76010,15525,1071,521,68,14454
76011,6580,406,277,33,6174
76012,6462,334,136,13,6128
76013,7678,413,124,0,7265
76014,9159,957,583,50,8202
76015,4332,41,22,0,4291
76016,7454,413,78,16,7041
76017,11423,485,136,1,10938
76018,7834,354,129,10,7480
76020,5595,405,195,58,5190
76021,8587,483,72,0,8104
76022,3028,198,63,44,2830
76023,1293,152,58,6,1141
76028,16164,1171,280,81,14993
76031,4079,232,59,23,3847
76033,5687,348,58,0,5339
76034,5118,230,20,0,4888
76035,409,5,0,0,404
76036,5677,283,135,0,5394
76039,9259,422,97,0,8837
76040,8182,524,136,97,7658
76041,58,10,0,0,48
76043,1721,178,74,0,1543
76044,780,22,12,0,758
76048,4779,290,53,31,4489
76049,4258,364,53,19,3894
76050,1373,73,15,0,1300
76053,7241,407,219,20,6834
76054,2399,128,23,0,2271
76055,496,68,8,0,428
76058,3950,218,133,40,3732
76059,1324,131,39,10,1193
76060,1770,83,12,0,1687
76061,0,0,0,0,0
76063,17352,876,173,0,16476
76064,381,0,0,0,381
76065,7528,483,109,0,7045
76066,621,15,0,0,606
76067,4573,247,79,0,4326
76070,184,0,0,0,184
76071,813,44,5,0,769
76073,1206,123,0,0,1083
76077,37,0,0,0,37
76082,4234,231,85,60,4003
76084,1739,132,51,0,1607
76085,2265,66,7,7,2199
76086,5482,362,18,2,5120
76087,5703,199,38,20,5504
76088,2657,221,84,1,2436
76093,392,57,20,0,335
76102,2551,185,166,47,2366
76103,3512,178,129,0,3334
76104,4069,345,156,30,3724
76105,5482,542,268,66,4940
76106,9198,1007,761,54,8191
76107,7293,349,125,37,6944
76108,9989,565,135,8,9424
76109,6136,250,63,0,5886
76110,7989,516,170,0,7473
76111,5826,439,221,39,5387
76112,10614,830,516,92,9784
76114,5810,337,55,14,5473
76115,5541,314,86,16,5227
76116,12527,610,295,16,11917
76117,7528,602,247,75,6926
76118,3691,282,28,0,3409
76119,10865,807,417,161,10058
76120,5332,426,373,33,4906
76123,8527,377,109,41,8150
76126,4335,334,84,1,4001
76127,1192,89,79,0,1103
76129,1752,0,0,0,1752
76131,9426,361,166,0,9065
76132,7200,568,245,2,6632
76133,12426,966,410,54,11460
76134,6708,727,505,42,5981
76135,5065,340,164,98,4725
76137,16057,804,193,0,15253
76140,7631,480,164,40,7151
76148,6167,356,65,0,5811
76155,1626,169,19,0,1457
76164,3981,447,264,95,3534
76179,14388,645,74,25,13743
76180,8767,312,204,47,8455
76182,6931,327,48,0,6604
76225,742,28,0,0,714
76228,171,2,0,0,169
76230,1953,166,4,0,1787
76233,841,31,0,0,810
76238,94,9,0,0,85
76239,215,4,0,0,211
76240,5974,522,153,11,5452
76244,19937,1215,335,56,18722
76245,242,37,0,0,205
76248,8638,425,32,0,8213
76250,206,3,0,0,203
76251,96,4,0,0,92
76252,608,27,11,0,581
76253,92,14,14,0,78
76255,1093,138,10,0,955
76261,57,0,0,0,57
76263,5,0,0,0,5
76264,375,3,0,0,372
76265,510,42,12,0,468
76268,43,0,0,0,43
76270,226,7,0,0,219
76271,397,35,22,0,362
76273,1737,37,10,10,1700
76301,3756,331,202,53,3425
76302,3374,226,132,49,3148
76305,852,17,4,2,835
76306,3560,134,19,0,3426
76308,5431,306,83,28,5125
76309,3005,158,79,26,2847
76310,4487,208,72,18,4279
76311,1207,108,4,0,1099
76351,373,5,5,0,368
76354,2662,164,31,0,2498
76357,144,6,6,0,138
76360,789,44,44,0,745
76363,63,2,2,0,61
76364,21,0,0,0,21
76365,906,30,19,0,876
76366,517,32,6,0,485
76367,2007,183,0,0,1824
76370,55,0,0,0,55
76371,327,12,6,0,315
76372,231,17,10,0,214
76373,35,0,0,0,35
76374,733,41,18,0,692
76377,198,19,0,0,179
76379,177,13,0,0,164
76380,758,46,0,0,712
76384,2876,183,63,18,2693
76388,33,6,6,6,27
76389,246,5,3,0,241
76401,8044,385,67,35,7659
76402,379,0,0,0,379
76424,1711,99,56,10,1612
76426,2353,80,50,0,2273
76427,317,11,7,0,306
76429,17,0,0,0,17
76430,521,35,16,0,486
76431,906,56,12,0,850
76432,263,5,4,4,258
76433,280,5,0,0,275
76435,120,0,0,0,120
76436,19,0,0,0,19
76437,1190,70,53,30,1120
76442,1516,194,111,0,1322
76443,405,11,11,0,394
76444,742,14,7,0,728
76445,34,0,0,0,34
76446,1731,153,63,10,1578
76448,1013,28,0,0,985
76449,504,0,0,0,504
76450,2639,175,92,0,2464
76452,14,0,0,0,14
76453,142,17,0,0,125
76454,319,33,17,0,286
76455,188,22,3,0,166
76457,923,11,4,0,912
76458,998,82,14,2,916
76459,42,6,0,0,36
76460,139,0,0,0,139
76462,592,15,0,0,577
76463,133,16,3,0,117
76464,133,3,3,0,130
76466,40,0,0,0,40
76469,6,0,0,0,6
76470,882,5,0,0,877
76471,331,22,15,5,309
76472,345,0,0,0,345
76474,34,0,0,0,34
76475,75,0,0,0,75
76476,698,12,6,0,686
76481,52,0,0,0,52
76483,166,7,0,0,159
76484,91,5,5,5,86
76486,217,0,0,0,217
76487,597,5,0,0,592
76490,0,0,0,0,0
76491,91,3,0,0,88
76501,3870,203,88,20,3667
76502,8016,496,116,0,7520
76504,5675,418,86,32,5257
76508,0,0,0,0,0
76513,9213,349,148,66,8864
76518,295,43,14,0,252
76519,253,0,0,0,253
76520,1355,12,12,0,1343
76522,10110,605,57,9,9505
76523,0,0,0,0,0
76524,803,17,0,0,786
76525,232,18,11,5,214
76528,4907,230,174,18,4677
76531,692,49,21,0,643
76534,533,17,12,0,516
76538,199,17,12,0,182
76539,2027,25,0,0,2002
76541,4518,294,73,2,4224
76542,13386,876,160,0,12510
76543,8069,749,281,23,7320
76544,6881,695,5,0,6186
76548,7250,340,147,0,6910
76549,14821,710,203,6,14111
76550,2178,109,64,0,2069
76554,486,30,11,0,456
76556,252,22,0,0,230
76557,1108,10,0,0,1098
76559,1661,10,0,0,1651
76561,285,15,10,0,270
76565,0,0,0,0,0
76566,89,0,0,0,89
76567,1922,75,24,0,1847
76569,482,10,2,0,472
76570,521,38,36,22,483
76571,1092,28,8,0,1064
76579,937,99,4,4,838
76596,983,43,7,0,940
76597,83,3,3,0,80
76598,443,19,7,0,424
76599,1583,20,17,0,1563
76621,234,20,8,0,214
76622,254,25,7,0,229
76623,36,7,0,0,29
76624,569,12,0,0,557
76626,389,10,3,0,379
76627,350,10,5,0,340
76628,14,0,0,0,14
76629,315,4,4,0,311
76630,333,32,0,0,301
76631,123,7,1,0,116
76632,327,12,0,0,315
76633,1325,83,21,9,1242
76634,1045,39,19,0,1006
76635,211,28,19,0,183
76636,305,10,3,0,295
76637,103,4,0,0,99
76638,564,39,0,0,525
76639,258,10,7,0,248
76640,713,70,0,0,643
76641,433,24,3,0,409
76642,1332,55,10,0,1277
76643,3636,72,0,0,3564
76645,2344,198,68,33,2146
76648,543,55,3,0,488
76649,140,0,0,0,140
76650,15,2,0,0,13
76651,686,22,0,0,664
76652,228,4,0,0,224
76653,232,18,8,6,214
76654,26,0,0,0,26
76655,2009,78,44,0,1931
76656,597,36,9,2,561
76657,2014,33,20,20,1981
76660,160,10,0,0,150
76661,2425,76,41,12,2349
76664,671,23,0,0,648
76665,557,8,8,3,549
76666,52,2,0,0,50
76667,2567,77,40,5,2490
76670,313,14,9,0,299
76671,344,31,8,0,313
76673,232,15,5,2,217
76676,83,2,0,0,81
76678,51,2,0,0,49
76679,331,10,0,0,321
76680,58,0,0,0,58
76681,134,0,0,0,134
76682,544,42,8,0,502
76685,0,0,0,0,0
76686,42,3,0,0,39
76687,359,32,32,0,327
76689,859,8,0,0,851
76690,218,11,4,0,207
76691,1486,24,0,0,1462
76692,1851,115,92,20,1736
76693,275,9,7,0,266
76701,645,65,5,0,580
76704,1793,81,50,18,1712
76705,7080,603,170,18,6477
76706,11802,440,175,20,11362
76707,3996,343,171,28,3653
76708,6455,297,132,19,6158
76710,5533,369,237,57,5164
76711,2036,42,11,0,1994
76712,5623,229,53,53,5394
76798,1229,0,0,0,1229
76801,5397,118,53,24,5279
76802,1190,21,9,0,1169
76820,21,0,0,0,21
76821,929,32,21,0,897
76823,661,35,17,0,626
76824,0,0,0,0,0
76825,1511,58,36,0,1453
76827,130,3,0,0,127
76828,21,0,0,0,21
76831,39,0,0,0,39
76832,73,11,0,0,62
76834,1080,36,28,0,1044
76836,0,0,0,0,0
76837,319,41,38,0,278
76841,0,0,0,0,0
76842,9,0,0,0,9
76844,714,7,0,0,707
76845,37,0,0,0,37
76848,5,0,0,0,5
76849,706,48,13,0,658
76852,24,0,0,0,24
76853,318,33,16,16,285
76854,42,0,0,0,42
76856,599,25,13,0,574
76857,339,11,0,0,328
76858,48,0,0,0,48
76859,375,15,6,0,360
76861,559,17,17,0,542
76862,17,0,0,0,17
76864,154,0,0,0,154
76865,9,0,0,0,9
76866,70,8,0,0,62
76869,12,0,0,0,12
76870,53,7,0,0,46
76871,104,14,0,0,90
76872,82,0,0,0,82
76873,0,0,0,0,0
76874,0,0,0,0,0
76875,188,0,0,0,188
76877,781,40,15,4,741
76878,364,16,13,13,348
76882,5,0,0,0,5
76884,59,2,2,0,57
76885,89,0,0,0,89
76887,0,0,0,0,0
76888,10,4,4,0,6
76890,192,16,0,0,176
76901,6501,358,74,0,6143
76903,7802,561,198,42,7241
76904,8193,441,108,0,7752
76905,3578,146,42,0,3432
76908,683,0,0,0,683
76930,33,0,0,0,33
76932,836,28,8,8,808
76933,263,5,0,0,258
76934,219,0,0,0,219
76935,340,7,7,0,333
76936,699,35,9,9,664
76937,9,0,0,0,9
76939,14,0,0,0,14
76940,34,1,0,0,33
76941,292,19,6,0,273
76943,752,41,0,0,711
76945,240,0,0,0,240
76949,2,0,0,0,2
76950,865,55,6,0,810
76951,229,6,0,0,223
76953,11,0,0,0,11
76955,15,0,0,0,15
76957,0,0,0,0,0
76958,68,3,3,0,65
77002,1647,88,71,0,1559
77003,2936,198,86,33,2738
77004,11835,312,186,0,11523
77005,6274,313,18,0,5961
77006,6401,247,58,0,6154
77007,10761,339,15,0,10422
77008,8848,639,126,0,8209
77009,9892,591,294,70,9301
77010,272,0,0,0,272
